"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1991,"GOA","TRW",330,46,3,1,"346064",NA
1991,"GOA","TRW",330,41,1,1,"346065",NA
1991,"GOA","TRW",330,42,1,1,"346065",NA
1991,"GOA","TRW",330,43,3,1,"346065",NA
1991,"GOA","TRW",330,44,1,1,"346065",NA
1991,"GOA","TRW",330,42,2,1,"346047",NA
1991,"GOA","TRW",330,43,1,1,"346047",NA
1991,"GOA","TRW",330,44,2,1,"346047",NA
1991,"GOA","TRW",330,45,1,1,"346047",NA
1991,"GOA","TRW",330,48,1,1,"346047",NA
1991,"GOA","TRW",330,38,1,1,"346047",NA
1991,"GOA","TRW",330,39,1,1,"346047",NA
1991,"GOA","TRW",330,40,1,1,"346047",NA
1991,"GOA","TRW",330,41,1,1,"346047",NA
1991,"GOA","TRW",330,42,5,1,"346047",NA
1991,"GOA","TRW",330,44,2,1,"346047",NA
1991,"GOA","TRW",330,45,2,1,"346047",NA
